encoder,quality,SSIMULACRA2 Mean,bitrate
aom,10,90.55003821,7.14336500000000000000
aom,15,87.03672234,4.06085500000000000000
aom,17,85.95482664,3.50760400000000000000
aom,19,84.95803344,3.09525000000000000000
aom,20,84.51612937,2.93484500000000000000
aom,23,83.26813141,2.56172100000000000000
aom,25,82.00787789,2.27214200000000000000
aom,27,80.61569882,2.01472000000000000000
aom,29,79.26884061,1.81168900000000000000
aom,31,77.61604052,1.61751800000000000000
aom,33,75.84923147,1.44968400000000000000
aom,35,73.84684258,1.30266700000000000000
aom,37,71.67801604,1.17441500000000000000
aom,40,68.00309514,1.00495800000000000000
aom,42,65.21861275,.90940000000000000000
aom,45,60.53447813,.78252200000000000000
aom,48,55.08441152,.67273900000000000000
aom,50,51.22213654,.60945400000000000000
aom,52,46.91364754,.55188500000000000000
aom,55,38.39649907,.46045700000000000000
aom,58,26.05119790,.36412100000000000000
aom,60,13.68740308,.29279800000000000000
rav1e,10,88.13694354,6.51023900000000000000
rav1e,15,83.97028044,3.53329500000000000000
rav1e,17,82.64988048,2.99592000000000000000
rav1e,19,81.36461517,2.61240200000000000000
rav1e,20,80.78459496,2.47207400000000000000
rav1e,23,79.14644469,2.14516300000000000000
rav1e,25,77.45795902,1.89224600000000000000
rav1e,27,75.49386178,1.66649700000000000000
rav1e,29,73.61861861,1.50122200000000000000
rav1e,31,71.19115130,1.32810800000000000000
rav1e,33,68.45156796,1.18085600000000000000
rav1e,35,65.43068337,1.05695300000000000000
rav1e,37,61.98794091,.94096500000000000000
rav1e,40,55.94008936,.78996300000000000000
rav1e,42,51.21360908,.69947800000000000000
rav1e,45,42.95783507,.57950100000000000000
rav1e,48,33.53830481,.48023600000000000000
rav1e,50,26.30166492,.42099600000000000000
rav1e,52,18.59194071,.37090100000000000000
rav1e,55,5.53473014,.30227400000000000000
rav1e,58,-9.95735207,.24429500000000000000
rav1e,60,-19.57231783,.21641500000000000000
